,"(0.2, 100, 3, [100], [20], [20])","(0.05, 100, 3, [100, 100], [100, 100], [100])","(0.2, 50, 2, [100, 100, 100], [20], [100, 100])","(0.2, 200, 1, [100, 100, 100], [20], [100, 100])"
fold_0,1.0914883017539978,1.0570929646492004,1.0840049982070923,1.0803613662719727
fold_1,1.080467402935028,1.0476259589195251,1.0921130776405334,1.093879759311676
fold_2,1.0549495816230774,1.010737419128418,1.055418848991394,1.0661411881446838
fold_3,1.085078477859497,1.0500841736793518,1.1118413209915161,1.0806943774223328
fold_4,1.1042691469192505,1.056208848953247,1.0871896147727966,1.1030404567718506
