,"(0.2, 100, 3, [100], [20], [20])","(0.05, 100, 3, [100, 100], [100, 100], [100])","(0.2, 50, 2, [100, 100, 100], [20], [100, 100])","(0.2, 200, 1, [100, 100, 100], [20], [100, 100])"
fold_0,3.620403528213501,3.633101224899292,3.51316237449646,3.6018564701080322
fold_1,3.6093428134918213,3.5326240062713623,3.5807766914367676,3.5899288654327393
fold_2,3.6189768314361572,3.644474506378174,3.58101224899292,3.6600143909454346
fold_3,3.64382004737854,3.5256292819976807,3.701856851577759,3.653090476989746
fold_4,3.559464454650879,3.6628897190093994,3.673444986343384,3.702176094055176
